"success","timeout","failed_images","failed_audio","failed_video","phase","experiment_trial_type","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","matrix_size","trials_per_block","total_trials","practice_trials","rt","view_history","stimulus","response","position","correct_key","conditional_entropy","surprisal","correct","block","trial_in_block","overall_trial","question_order","questionnaire_item"
"true","false","[]","[]","[]","preload","preload","preload","0","4954","0.0-0.0","P_75b53fc0f584fae0d3381340a9067791ba350bcc663cc3ca4eee000dd7215a48","697c608fb23a18f07d093e5b","697c610682796cf0d2f48a45","6","60","1200","12","","","","","","","","","","","","","",""
"true","","","","","fullscreen","fullscreen","fullscreen","1","51925","0.0-1.0","P_75b53fc0f584fae0d3381340a9067791ba350bcc663cc3ca4eee000dd7215a48","697c608fb23a18f07d093e5b","697c610682796cf0d2f48a45","6","60","1200","12","45955","","","","","","","","","","","","",""
"","","","","","instructions","instructions","instructions","2","301526","0.0-2.0","P_75b53fc0f584fae0d3381340a9067791ba350bcc663cc3ca4eee000dd7215a48","697c608fb23a18f07d093e5b","697c610682796cf0d2f48a45","6","60","1200","12","249599","[{""page_index"":0,""viewing_time"":15215},{""page_index"":1,""viewing_time"":230034},{""page_index"":2,""viewing_time"":4350}]","","","","","","","","","","","",""
"","","","","","","","html-keyboard-response","3","323383","0.0-3.0","P_75b53fc0f584fae0d3381340a9067791ba350bcc663cc3ca4eee000dd7215a48","697c608fb23a18f07d093e5b","697c610682796cf0d2f48a45","6","60","1200","12","21855","","
				<div class=""instruction-text"">
					<h2>Practice</h2>
					<p>You wil start with 12 practice trials to get familiar with the task.</p>
					<p><strong>Ready to practice? Please rest your fingers on these keys throughout the task, as demonstrated below:</strong></p>
					<img src=""assets/key-mappings-6pos.gif"" alt=""Key Mapping"" class=""key-mapping-image"" />
					<p style=""text-align: center;"">Press any key to begin the practice trials.</p>
				</div>","l","","","","","","","","","",""
"","","","","","practice","stimulus","html-keyboard-response","4","326182","0.0-4.0-0.0-0.0","P_75b53fc0f584fae0d3381340a9067791ba350bcc663cc3ca4eee000dd7215a48","697c608fb23a18f07d093e5b","697c610682796cf0d2f48a45","6","60","1200","12","2798","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">S</div><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box active"" data-position=""3""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""4""></div></div><div class=""position-wrapper""><div class=""key-label"">L</div><div class=""position-box "" data-position=""5""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-6pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","j","3","j","1.7164586615480486","null","true","","","","",""
"","","","","","practice","feedback","html-keyboard-response","5","326415","0.0-4.0-0.0-1.0","P_75b53fc0f584fae0d3381340a9067791ba350bcc663cc3ca4eee000dd7215a48","697c608fb23a18f07d093e5b","697c610682796cf0d2f48a45","6","60","1200","12","null","","<div class=""feedback-message""><div class=""feedback-correct"">✓</div></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">S</div><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box active"" data-position=""3""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""4""></div></div><div class=""position-wrapper""><div class=""key-label"">L</div><div class=""position-box "" data-position=""5""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-6pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","","","",""
"","","","","","practice","rsi","html-keyboard-response","6","326544","0.0-4.0-1.0","P_75b53fc0f584fae0d3381340a9067791ba350bcc663cc3ca4eee000dd7215a48","697c608fb23a18f07d093e5b","697c610682796cf0d2f48a45","6","60","1200","12","null","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">S</div><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""4""></div></div><div class=""position-wrapper""><div class=""key-label"">L</div><div class=""position-box "" data-position=""5""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-6pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","","","",""
"","","","","","practice","stimulus","html-keyboard-response","7","327738","0.0-5.0-0.0-0.0","P_75b53fc0f584fae0d3381340a9067791ba350bcc663cc3ca4eee000dd7215a48","697c608fb23a18f07d093e5b","697c610682796cf0d2f48a45","6","60","1200","12","1192","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">S</div><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box active"" data-position=""4""></div></div><div class=""position-wrapper""><div class=""key-label"">L</div><div class=""position-box "" data-position=""5""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-6pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","k","4","k","1.7163490803009984","null","true","","","","",""
"","","","","","practice","feedback","html-keyboard-response","8","327947","0.0-5.0-0.0-1.0","P_75b53fc0f584fae0d3381340a9067791ba350bcc663cc3ca4eee000dd7215a48","697c608fb23a18f07d093e5b","697c610682796cf0d2f48a45","6","60","1200","12","null","","<div class=""feedback-message""><div class=""feedback-correct"">✓</div></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">S</div><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box active"" data-position=""4""></div></div><div class=""position-wrapper""><div class=""key-label"">L</div><div class=""position-box "" data-position=""5""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-6pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","","","",""
"","","","","","practice","rsi","html-keyboard-response","9","328075","0.0-5.0-1.0","P_75b53fc0f584fae0d3381340a9067791ba350bcc663cc3ca4eee000dd7215a48","697c608fb23a18f07d093e5b","697c610682796cf0d2f48a45","6","60","1200","12","null","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">S</div><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""4""></div></div><div class=""position-wrapper""><div class=""key-label"">L</div><div class=""position-box "" data-position=""5""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-6pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","","","",""
